tweets,label,preprocess_tweets
"RT @CllrBSilvester: Bryant's UKIP Bashing Comes Back to Bite Him 
https://t.co/hSTeJqksab via @guidofawkes",leave,rt : bryant's ukip bashing comes back to bite him <url> via
RT @davidicke: Brexit poll: Almost half of Europeans want own vote on leaving EU: https://t.co/BMOwGvINqn #Brexit #EU #Cameron https://t.co…,leave,rt : brexit poll : almost half of europeans want own vote on leaving eu : <url> <hashtag> <hashtag> <hashtag> <url> …
RT @labourleave: Media are covering Tory and Labour Pro EU view and Tory and UKIP anti EU view. Why not include the Labour Anti EU view to?,leave,rt : media are covering tory and labour pro eu view and tory and ukip anti eu view why not include the labour anti eu view to
RT @VernallsE: Spread the Word https://t.co/dgd4v70Fm7 #voteleave via @vote_leave,leave,rt : spread the word <url> <hashtag> via
"RT @wearebankable: Bankable supports a European Britain. #StrongerIn

https://t.co/fUkU6dB3hf #fintech #startups #innovation #tech https://…",stay,rt : bankable supports a european britain <hashtag> <url> <hashtag> <hashtag> <hashtag> <hashtag> https : / / …
RT @gale_adam: Really looking forward to the #Brexit movie premiere this evening in #leicestersquare. #Britain @BrexitTheMovie @vote_leave…,leave,rt : really looking forward to the <hashtag> movie premiere this evening in <hashtag> <hashtag> …
Vote Leave Brexit Campaign Accused Of 'Shocking Bullying Tactics' Against ITV https://t.co/Li9BgoeRu6,leave,vote leave brexit campaign accused of ' shocking bullying tactics ' against itv <url>
More scaremongering @D_Blanchflower. #brexit #VoteLeave All speculation and no substance.,leave,more scaremongering <hashtag> <hashtag> all speculation and no substance
RT @thgreenparty: So many of our environmental &amp; social policy achievements are at risk from the Tory-UKIP #Brexit group. #GreenerIN https:…,leave,rt : so many of our environmental amp ; social policy achievements are at risk from the tory-ukip <hashtag> group <hashtag> https : …
"1/2 So far this weak we've been told brexit could lead to possible war, a recession and now Dodgy Dave is picking his opponents.  #VoteLeave",leave,<number> / <number> so far this weak we've been told brexit could lead to possible war a recession and now dodgy dave is picking his opponents <hashtag>
"@PaulGreig69 @bbclaurak Why? Given the millions of £s Gvnmt is spending on Remain, I think Whittingdale's can say what he wants #Brexit",stay,why given the millions of s gvnmt is spending on remain i think whittingdale's can say what he wants <hashtag>
Imagine if we #VoteLeave on 23 June https://t.co/Pj7GRWntJN,leave,imagine if we <hashtag> on <number> june <url>
RT @Daily_Express: Ukip leader @Nigel_Farage CONFIRMED to take part in EU debate with Prime Minister #BREXIT https://t.co/cD9raQtA31 https:…,leave,rt : ukip leader confirmed to take part in eu debate with prime minister <hashtag> <url> https : …
RT @Daily_Express: Ukip leader @Nigel_Farage CONFIRMED to take part in EU debate with Prime Minister #BREXIT https://t.co/cD9raQtA31 https:…,leave,rt : ukip leader confirmed to take part in eu debate with prime minister <hashtag> <url> https : …
"RT @4941ac: Profile: Neil Hamilton, UKIP’s genial but shamelessly selfish new leader in Cardiff Bay  
https://t.co/mWkKLZhMDI",leave,rt : profile : neil hamilton ukip ’ s genial but shamelessly selfish new leader in cardiff bay <url>
"RT @David_S_Moon: The issue in Wales is now one of *perception*. Labour paint Plaid as working w. UKIP/Tories to gain power, Plaid protest…",leave,rt : the issue in wales is now one of * perception * labour paint plaid as working w ukip / tories to gain power plaid protest …
Stop any further destruction of our manufacturing industries NOW. #VoteLeave #Brexit #EUref Sack Vatman &amp; Knobend https://t.co/5NQHO33f2Y,leave,stop any further destruction of our manufacturing industries now <hashtag> <hashtag> <hashtag> sack vatman amp ; knobend <url>
"RT @UKIP: Read @Steven_Woolfe: True EU immigration figure 250,000 a year higher than first thought https://t.co/vcvXycxYfs",leave,rt : read : true eu immigration figure <number> a year higher than first thought <url>
RT @UKIP: Will you be watching? https://t.co/2iK88EZIcJ,leave,rt : will you be watching <url>
"RT @The_TUC: How #EU protects you from discrimination, explained in the time it takes to go Holborn's escalator. #EUReferendum
https://t.co…",leave,rt : how <hashtag> protects you from discrimination explained in the time it takes to go holborn's escalator <hashtag> <url> …
https://t.co/NoBE3ewpt3 #StrongerIn,stay,<url> <hashtag>
RT @UKIP: Read @Steven_Woolfe: Europol's actions prove the threat of terrorism via the Balkan Migrant route https://t.co/klvtpwz0oH,leave,rt : read : europol's actions prove the threat of terrorism via the balkan migrant route <url>
"@UKIP One suspects more voters will watch the ITV debateless version, than any of the others, as they want to see Nigel Farage at his best.",leave,one suspects more voters will watch the itv debateless version than any of the others as they want to see nigel farage at his best
RT @smiffymaid: There wouldn't of been a referendum if not for #Farage #UKIP's determination. Both have same goal #Brexit #LeaveEU https://…,leave,rt : there wouldn't of been a referendum if not for <hashtag> <hashtag> determination both have same goal <hashtag> <hashtag> https : / / …
See Duncan Enright's wonderful analysis on the EU Referendum. It is as a comment to my blog https://t.co/pA3GGNzyhU #Remain #Brexit,stay,see duncan enright's wonderful analysis on the eu referendum it is as a comment to my blog <url> <hashtag> <hashtag>
"RT @BenDilks: I spoke to @UKLabour's charming @LadyBasildon about the Lords, the Ukip threat and making her party more electable: https://t…",leave,rt : i spoke to ' s charming about the lords the ukip threat and making her party more electable : <url> …
Remaining in the EU gives Britain more control over forces that affect its citizens - @RobinNiblett: https://t.co/Bhjej5lAyF  #EUref,stay,remaining in the eu gives britain more control over forces that affect its citizens - : <url> <hashtag>
"RT @UKIP: Read @Steven_Woolfe: True EU immigration figure 250,000 a year higher than first thought https://t.co/vcvXycxYfs",leave,rt : read : true eu immigration figure <number> a year higher than first thought <url>
I am planning the Reggae4Brexit Party @ #LondonWestBank art gallery in Notting Hill on 17-06-16. Be There. #LeaveEU https://t.co/eMxiLN4G8z,leave,i am planning the reggae <number> brexit party @ <hashtag> art gallery in notting hill on <number> <number> <number> be there <hashtag> <url>
RT @UKIP_PBO: UKIP have been fighting long and hard for Brexit. Now the rest of Peterborough is joining us. No matter what your... https://…,leave,rt : ukip have been fighting long and hard for brexit now the rest of peterborough is joining us no matter what your https : / / …
RT @JamieOwenBBC: Neil Hamilton is elected leader of #UKIP in the Assembly - but his appointment has provoked a furious row #Wales @bbcwale…,leave,rt : neil hamilton is elected leader of <hashtag> in the assembly - but his appointment has provoked a furious row <hashtag> …
Is there a Hi-Res version as I can't see the biggest and longest running #Brexit group on there? @eureferendum  https://t.co/HfTVP45XCF,leave,is there a hi-res version as i can't see the biggest and longest running <hashtag> group on there <url>
RT @Daily_Express: Ukip leader @Nigel_Farage CONFIRMED to take part in EU debate with Prime Minister #BREXIT https://t.co/cD9raQtA31 https:…,leave,rt : ukip leader confirmed to take part in eu debate with prime minister <hashtag> <url> https : …
Well that's me decided @StrongerIn #voteinforgin #voteremain https://t.co/Im1CfbjSyk,stay,well that's me decided <hashtag> <hashtag> <url>
"RT @paddynicholls1: https://t.co/IUStThStCr This is worryingly too close, pretty scared about what could happen. #VoteRemain #ForGodSakeVot…",stay,rt : <url> this is worryingly too close pretty scared about what could happen <hashtag> <hashtag>
"RT @wearebankable: Bankable supports a European Britain. #StrongerIn

https://t.co/fUkU6dB3hf #fintech #startups #innovation #tech https://…",stay,rt : bankable supports a european britain <hashtag> <url> <hashtag> <hashtag> <hashtag> <hashtag> https : / / …
RT @uktostayeu: V IMPORTANT - deadline for #UK expats to register to vote this Mon - please RT! #Brexit #EUref #UKtoStay #EU https://t.co/2…,stay,rt : v important - deadline for <hashtag> expats to register to vote this mon - please rt <hashtag> <hashtag> <hashtag> <hashtag> <url> …
"""Vote @Plaid_Cymru. Get @UKIP."" @UKLabour's slogan in Wales for the next ten years sorted then. https://t.co/d5kCxPz8A7",leave,""" vote get "" ' s slogan in wales for the next ten years sorted then <url>"
RT @labourleave: Media are covering Tory and Labour Pro EU view and Tory and UKIP anti EU view. Why not include the Labour Anti EU view to?,leave,rt : media are covering tory and labour pro eu view and tory and ukip anti eu view why not include the labour anti eu view to
RT @NewEuropeans: Where do you stand on #EUref? #StrongerIN #Brexit @YEM_UK https://t.co/jSCHFDM7Fu,stay,rt : where do you stand on <hashtag> <hashtag> <hashtag> <url>
RT @smiffymaid: There wouldn't of been a referendum if not for #Farage #UKIP's determination. Both have same goal #Brexit #LeaveEU https://…,leave,rt : there wouldn't of been a referendum if not for <hashtag> <hashtag> determination both have same goal <hashtag> <hashtag> https : / / …
Remainers saying that we'll still have to pay to trade with the EU if we leave - How much will it be when the EU collapses? #EUreferendum,stay,remainers saying that we'll still have to pay to trade with the eu if we leave - how much will it be when the eu collapses <hashtag>
RT @NewEuropeans: Deadline for #UKexpats to #Register to #Vote  in #EUReferendum is 16 May (next Monday). https://t.co/w2uZc1lRpS https://t…,leave,rt : deadline for <hashtag> to <hashtag> to <hashtag> in <hashtag> is <number> may next monday <url> <url> …
RT @smiffymaid: There wouldn't of been a referendum if not for #Farage #UKIP's determination. Both have same goal #Brexit #LeaveEU https://…,leave,rt : there wouldn't of been a referendum if not for <hashtag> <hashtag> determination both have same goal <hashtag> <hashtag> https : / / …
@RoundLike @ukleave_eu @BBCNormanS @vote_leave @Nigel_Farage @UKIP ludicrous.,leave,ludicrous
#lbc #gogogo #go #voteleave #brexit #wales #scotland  https://t.co/1viQrIkNRZ,leave,<hashtag> <hashtag> <hashtag> <hashtag> <hashtag> <hashtag> <hashtag> <url>
#Brexit #EUreferendum The lack of understanding on how the EU institution works creates distrust. Pls make time read https://t.co/fei3i1Wax0,leave,<hashtag> <hashtag> the lack of understanding on how the eu institution works creates distrust pls make time read <url>
"RT @britinfluence: 200 economists warn against #Brexit vote (£) @StrongerIn #EUref #EUreferendum #UKinEU #StrongerIn #Remain  #Bremain
http…",stay,rt : <number> economists warn against <hashtag> vote <hashtag> <hashtag> <hashtag> <hashtag> <hashtag> <hashtag> http …
RT @smiffymaid: There wouldn't of been a referendum if not for #Farage #UKIP's determination. Both have same goal #Brexit #LeaveEU https://…,leave,rt : there wouldn't of been a referendum if not for <hashtag> <hashtag> determination both have same goal <hashtag> <hashtag> https : / / …
"RT @RichardAENorth: EU Referendum: not in our name - Vote Leave does not represent us... https://t.co/GEn4Xgt08N
. https://t.co/Z6ASR8hi5G",leave,rt : eu referendum : not in our name - vote leave does not represent us <url> <url>
Irish border to become the new Calais? The immigrants have got to get there first. #VoteLeave https://t.co/bP6qWioRAV,leave,irish border to become the new calais the immigrants have got to get there first <hashtag> <url>
"RT @UKIP: Read @Steven_Woolfe: True EU immigration figure 250,000 a year higher than first thought https://t.co/vcvXycxYfs",leave,rt : read : true eu immigration figure <number> a year higher than first thought <url>
RT @Ryan_J_Higdon: A #Brexit will enable the UK to re distribute £350 million each week to help stimulate our recessive economy. #VoteLeave,leave,rt : a <hashtag> will enable the uk to re distribute <number> million each week to help stimulate our recessive economy <hashtag>
"8.7% of Britain First's 2nd choices plus 7.1% of BNP's went to Sadiq Khan, but only 6.3% of Ukip votes went his way https://t.co/XwDdCTC8PS",leave,<number> of britain first's <number> nd choices plus <number> of bnp's went to sadiq khan but only <number> of ukip votes went his way <url>
RT @labourleave: Media are covering Tory and Labour Pro EU view and Tory and UKIP anti EU view. Why not include the Labour Anti EU view to?,leave,rt : media are covering tory and labour pro eu view and tory and ukip anti eu view why not include the labour anti eu view to
"Sadly, she is just plain wrong about #SmallBusiness We will all be better off without #EU #RedTape We all know that! https://t.co/Y1sVt9U9Qc",leave,sadly she is just plain wrong about <hashtag> we will all be better off without <hashtag> <hashtag> we all know that <url>
"RT @Campaignmag: Amid Brexit debate, marketing &amp; agency leaders say staying in the EU is good for business https://t.co/hMTLDxlOuM https://…",stay,rt : amid brexit debate marketing amp ; agency leaders say staying in the eu is good for business <url> https : / / …
RT @MitchellGoldie: My article for @vote_leave in my local newspaper #VoteLeave https://t.co/YV7tnU7nT2,leave,rt : my article for in my local newspaper <hashtag> <url>
RT @PeaceOutCoUk: Picture of London Planning Department's Expansion Plans Post Referendum #LeaveEU #StrongerIn ? #Remain ? #euref #EU https…,stay,rt : picture of london planning department's expansion plans post referendum <hashtag> <hashtag> <hashtag> <hashtag> <hashtag> https …
RT @Ivan4Harwich: '@Kevin_Maguire @EssexLabour C'word' Essex former Tory/UKIP/now independent councillor kicked off cabinet https://t.co/VL…,leave,rt : ' c'word ' essex former tory / ukip / now independent councillor kicked off cabinet <url> …
RT @Ivan4Harwich: '@Kevin_Maguire @EssexLabour C'word' Essex former Tory/UKIP/now independent councillor kicked off cabinet https://t.co/VL…,leave,rt : ' c'word ' essex former tory / ukip / now independent councillor kicked off cabinet <url> …
"The EU, not NATO, has brought peace to our continent writes @MollyMEP in @theStaggers https://t.co/pEo9NkEJYs #StrongerIn #Remain #EUref",stay,the eu not nato has brought peace to our continent writes in <url> <hashtag> <hashtag> <hashtag>
RT @SECONDHOMELDN: Less than 1 month left to #RegisterToVote for the #EUreferendum. Sign up here... https://t.co/j3kL6K3MvQ,leave,rt : less than <number> month left to <hashtag> for the <hashtag> sign up here <url>
What with the warning from the Bank of England and toxic Farage being chosen to debate with the Prime Minister a bad day for #VoteLeave 😄,leave,what with the warning from the bank of england and toxic farage being chosen to debate with the prime minister a bad day for <hashtag> 😄
@Nigel_Farage @ITV @itvnews @David_Cameron Go get him Nigel #Brexit #LeaveEU https://t.co/YvtgrKSxjR,leave,go get him nigel <hashtag> <hashtag> <url>
RT @uktostayeu: V IMPORTANT - deadline for #UK expats to register to vote this Mon - please RT! #Brexit #EUref #UKtoStay #EU https://t.co/2…,stay,rt : v important - deadline for <hashtag> expats to register to vote this mon - please rt <hashtag> <hashtag> <hashtag> <hashtag> <url> …
#BankofEngland warnings sound like #chickenlicken https://t.co/TJnYvGw09R is Cameron Goosey Lucy? #Brexit #LeaveEU  #VoteLeave #GO #UKIP,leave,<hashtag> warnings sound like <hashtag> <url> is cameron goosey lucy <hashtag> <hashtag> <hashtag> <hashtag> <hashtag>
"Roger Helmer MEP - ""The remain camp seem to have forgotten that staying in a dysfunctional EU is equally fraught with uncertainty."" #Brexit",stay,"roger helmer mep - "" the remain camp seem to have forgotten that staying in a dysfunctional eu is equally fraught with uncertainty "" <hashtag>"
RT @PeaceOutCoUk: Picture of London Planning Department's Expansion Plans Post Referendum #LeaveEU #StrongerIn ? #Remain ? #euref #EU https…,stay,rt : picture of london planning department's expansion plans post referendum <hashtag> <hashtag> <hashtag> <hashtag> <hashtag> https …
#Brexit  Mark Carney doesn't have best track record on forecasting what the economy will do.  Ignore his comments @eureferendum @voteleave,leave,<hashtag> mark carney doesn't have best track record on forecasting what the economy will do ignore his comments
